@relation Instances

@attribute athletics_hints_count numeric
@attribute cricket_hints_count numeric
@attribute football_hints_count numeric
@attribute rugby_hints_count numeric
@attribute tennis_hints_count numeric
@attribute capitalized_words_count numeric
@attribute gender_dominance numeric
@attribute text_length numeric
@attribute sentences_count numeric
@attribute paragraphs_count numeric
@attribute words_per_sentence_average numeric
@attribute quote_count numeric
@attribute single_sport_hints_count numeric
@attribute team_sport_hints_count numeric
@attribute number_count numeric
@attribute class {athletics,cricket,football,rugby,tennis}

@data
1,0,0,0,0,118,1,3716,32,6,21,0,3,7,15,athletics
2,0,0,0,0,50,0,1193,9,4,21,0,0,0,6,athletics
1,0,0,0,0,113,0,3134,26,7,21,0,9,6,4,athletics
0,0,0,0,0,41,1,1022,11,3,16,1,1,0,5,athletics
0,0,0,0,0,42,1,779,6,3,22,0,0,2,3,athletics
0,0,0,0,0,141,0,2918,25,16,20,0,1,0,38,athletics
0,0,0,0,0,70,1,1303,10,3,22,0,1,1,10,athletics
0,0,0,0,0,43,0,806,6,3,20,0,0,1,3,athletics
0,0,0,0,0,58,1,1011,8,3,22,0,1,0,15,athletics
1,0,0,0,0,57,0,1457,11,5,21,1,0,3,3,athletics
6,0,0,0,0,43,0,1318,11,4,20,2,0,2,0,athletics
5,0,0,0,0,82,0,2181,19,6,17,5,0,3,3,athletics
2,0,0,0,0,80,0,2386,21,5,18,3,0,3,3,athletics
0,0,0,0,0,46,0,772,6,3,21,0,0,0,7,athletics
1,0,0,0,0,38,1,812,7,3,20,1,1,0,4,athletics
0,0,0,0,0,37,1,794,6,3,22,1,0,1,7,athletics
1,0,0,0,0,57,0,1042,11,4,16,1,0,0,12,athletics
1,0,0,0,0,53,0,1079,9,3,20,0,1,3,10,athletics
1,0,0,0,0,95,1,2869,23,4,19,5,0,6,4,athletics
2,0,0,0,0,62,1,1711,16,4,18,2,0,3,3,athletics
2,0,0,0,0,71,0,1993,20,5,17,2,11,3,5,athletics
1,0,0,0,0,67,0,1852,13,5,22,0,0,2,3,athletics
0,0,1,0,0,35,0,867,11,3,13,1,0,1,1,athletics
0,0,0,0,0,94,0,4226,42,6,18,1,20,1,7,athletics
0,0,0,0,0,50,0,1275,12,4,18,1,6,1,9,athletics
0,0,0,0,0,54,0,970,8,4,20,0,0,1,11,athletics
0,0,0,0,0,49,1,996,11,3,15,1,1,0,6,athletics
3,0,0,0,0,81,1,2276,22,4,17,3,0,1,3,athletics
0,0,0,0,0,50,0,1118,9,4,20,1,2,0,6,athletics
5,0,0,0,0,76,1,1824,16,4,19,2,0,0,7,athletics
0,0,0,1,0,192,0,2965,18,7,30,0,0,1,44,cricket
0,1,0,0,0,198,0,4592,63,57,12,0,0,1,21,cricket
0,0,0,0,0,138,0,2560,22,8,19,0,0,0,35,cricket
0,2,0,0,0,108,0,2406,21,5,18,1,0,6,9,cricket
0,1,0,0,0,49,0,1330,14,4,16,2,1,2,2,cricket
0,0,0,0,0,96,0,777,7,6,20,0,0,0,9,cricket
0,0,0,0,0,88,0,1961,17,5,19,2,0,1,9,cricket
0,0,0,0,0,68,0,1931,19,5,17,2,0,0,4,cricket
0,6,0,0,0,106,0,2377,20,5,20,1,1,4,5,cricket
0,0,0,0,0,64,0,1491,12,4,20,0,0,1,3,cricket
0,1,0,0,0,38,0,1039,9,3,19,0,0,0,4,cricket
0,1,0,0,0,72,0,2036,17,4,22,3,6,3,10,cricket
0,0,0,0,0,192,0,3543,25,9,25,0,0,1,35,cricket
0,3,0,0,0,64,0,1679,11,3,24,1,3,2,3,cricket
0,1,0,0,0,118,0,2104,17,8,21,1,0,8,8,cricket
0,2,0,0,0,52,0,1871,14,4,23,3,3,8,2,cricket
0,3,0,0,0,52,0,1117,9,3,20,0,0,1,8,cricket
0,0,0,0,0,49,0,1282,13,4,17,1,0,2,9,cricket
0,0,0,1,0,122,0,2453,15,7,28,3,0,7,8,cricket
0,0,0,0,0,56,0,1781,14,4,21,1,0,3,2,cricket
0,3,0,0,0,52,0,1117,9,3,20,0,0,1,8,cricket
0,1,0,0,0,111,0,1894,13,5,24,0,0,0,18,cricket
0,2,0,0,0,79,0,2620,22,5,20,4,0,10,3,cricket
0,1,0,0,0,103,0,2918,25,6,20,4,1,10,7,cricket
0,1,0,0,0,41,0,1383,10,3,23,1,0,3,4,cricket
0,2,0,0,0,149,0,3167,29,7,17,2,2,7,10,cricket
0,0,0,0,0,139,0,2142,16,5,23,0,0,0,25,cricket
0,1,0,0,0,101,0,2323,17,6,23,1,0,6,8,cricket
0,2,0,0,0,80,0,2615,22,5,20,4,0,10,3,cricket
0,5,0,0,0,138,0,3673,27,7,23,3,0,3,32,cricket
0,1,0,0,0,104,0,1330,8,5,28,0,0,0,6,cricket
0,1,0,0,0,103,0,2918,25,6,20,4,1,10,7,cricket
0,1,0,0,0,41,0,1383,10,3,23,1,0,3,4,cricket
0,3,0,0,0,128,0,2202,18,6,20,1,0,8,2,cricket
0,6,0,0,0,97,0,1862,12,3,26,1,0,3,18,cricket
0,5,0,0,0,107,0,2176,18,4,20,2,0,2,4,cricket
0,1,0,0,0,67,0,2241,19,4,19,6,0,3,1,cricket
0,0,0,0,0,127,0,2274,19,8,21,2,0,8,5,cricket
0,0,0,0,0,25,0,1028,10,4,17,2,0,9,2,cricket
0,1,0,0,1,63,0,1871,17,4,19,1,2,1,3,cricket
0,2,0,0,0,194,0,3125,26,9,20,1,0,2,27,cricket
0,0,0,0,0,103,0,2004,18,7,18,3,0,3,1,cricket
0,0,0,0,0,110,0,2205,20,7,18,2,0,6,6,cricket
0,2,0,0,0,110,0,2905,18,5,28,0,0,0,27,cricket
1,1,0,0,0,185,0,3350,22,9,27,0,0,0,32,cricket
0,0,0,0,0,74,0,2494,26,5,17,2,1,6,14,cricket
0,6,0,0,0,86,0,2521,22,5,19,5,0,4,7,cricket
0,3,0,0,0,105,0,2987,27,4,19,4,2,14,6,cricket
0,6,0,2,0,92,0,1997,14,5,24,2,0,5,9,cricket
0,0,0,0,0,103,0,2919,19,7,26,0,0,1,31,cricket
0,6,0,0,0,93,0,3207,23,5,23,2,0,6,5,cricket
0,0,0,0,0,67,0,1079,8,4,21,0,0,0,2,cricket
0,0,0,0,0,67,0,1087,8,4,22,0,0,0,2,cricket
0,1,1,0,0,92,0,1215,8,5,24,0,0,0,10,cricket
0,0,0,0,0,37,0,925,7,3,23,0,0,1,4,cricket
0,0,0,0,0,176,0,3331,21,7,28,0,0,0,40,cricket
0,3,0,0,0,58,0,1595,13,4,20,0,0,3,8,cricket
0,3,0,0,0,53,0,1828,16,4,17,0,0,6,2,cricket
0,1,0,0,0,139,0,2649,18,7,25,1,0,8,13,cricket
0,0,0,0,0,118,0,1939,16,6,21,0,0,0,15,cricket
0,0,0,0,0,118,0,1942,16,6,21,0,0,0,15,cricket
0,0,0,0,0,50,0,797,6,4,20,0,0,1,4,cricket
0,2,0,0,0,129,0,2988,31,9,17,2,1,10,6,cricket
0,0,0,0,0,105,0,2001,14,6,24,0,1,1,18,cricket
0,0,0,0,0,98,0,1190,9,7,22,0,0,0,21,cricket
0,1,0,0,0,80,0,1985,18,4,19,0,3,0,17,cricket
0,0,0,0,0,70,0,2428,18,6,23,2,0,10,4,cricket
0,0,0,0,0,204,0,4245,34,10,21,0,0,0,37,cricket
0,12,0,0,0,123,0,3173,25,8,21,4,0,7,21,cricket
0,0,0,0,0,152,0,2592,18,7,23,0,0,0,31,cricket
0,1,0,0,0,152,0,3073,26,8,20,3,0,6,6,cricket
0,0,0,0,0,57,0,993,7,5,23,0,0,0,2,cricket
0,0,0,0,0,144,0,3014,24,8,21,0,0,0,17,cricket
0,0,0,0,0,143,0,2624,18,7,24,0,0,0,31,cricket
0,0,0,0,0,168,0,3883,26,9,25,0,0,2,37,cricket
0,2,0,0,0,55,0,1775,14,5,22,2,0,5,3,cricket
0,0,0,0,0,182,0,2856,18,8,27,0,0,0,41,cricket
0,1,0,0,0,38,0,1019,8,3,21,0,0,2,2,cricket
0,1,0,0,0,54,0,1408,13,4,19,1,0,2,7,cricket
0,0,0,0,0,288,0,9646,85,86,19,0,0,1,14,cricket
0,0,0,0,0,195,0,3569,24,8,25,0,2,0,37,cricket
0,0,0,0,0,143,0,2071,17,8,21,0,0,0,16,cricket
0,0,0,0,0,162,0,3354,23,9,24,0,0,0,30,cricket
0,0,0,0,0,165,0,3285,22,7,25,0,0,0,34,cricket
0,8,0,0,0,73,0,2104,17,4,21,2,0,5,3,cricket
0,1,0,0,0,150,0,2668,18,6,25,0,0,0,31,cricket
0,1,0,0,0,118,0,2283,16,6,23,0,0,1,23,cricket
0,1,0,0,0,118,0,2290,16,6,23,0,0,1,23,cricket
0,1,0,0,0,155,0,2933,26,8,19,3,0,12,7,cricket
0,0,0,0,0,156,0,2929,21,7,23,0,0,0,33,cricket
0,2,0,0,0,24,0,1178,10,4,18,0,0,1,2,cricket
0,2,0,0,0,50,0,1657,15,5,19,3,1,3,2,cricket
0,1,0,0,0,83,0,2886,17,6,29,0,0,0,12,cricket
0,2,0,0,0,34,0,858,6,3,21,0,0,0,3,cricket
0,4,0,0,0,45,0,1555,13,3,22,2,3,3,6,cricket
0,8,0,0,0,113,0,4097,31,6,23,3,3,7,11,cricket
0,1,0,0,0,49,0,1050,9,3,20,2,0,2,2,cricket
0,3,0,0,0,86,0,2361,22,4,18,3,4,6,8,cricket
0,2,0,0,0,56,0,1605,16,4,16,3,0,5,4,cricket
0,3,0,0,0,72,0,2367,19,4,21,2,4,2,10,cricket
0,2,0,0,0,21,0,1085,8,3,23,2,0,0,1,cricket
0,3,0,0,0,49,0,1671,13,5,20,2,0,1,5,cricket
0,7,0,0,0,47,0,1380,14,4,15,1,1,0,6,cricket
0,2,0,0,0,35,0,648,5,3,20,0,0,0,1,cricket
0,2,0,0,0,32,0,1138,9,4,21,1,0,7,4,cricket
0,8,0,0,0,84,0,2421,17,4,23,2,0,13,4,cricket
0,0,0,0,0,58,0,2171,17,4,21,0,0,0,4,cricket
0,5,0,0,0,63,0,2671,21,5,23,3,2,15,2,cricket
0,2,0,0,0,87,0,1839,14,4,22,2,0,6,6,cricket
0,8,0,0,0,148,0,3324,27,7,20,1,0,3,40,cricket
0,2,0,0,0,95,0,1289,9,5,22,0,0,0,17,cricket
0,2,0,0,0,50,0,1154,8,3,25,0,0,0,2,cricket
0,7,0,0,0,131,0,2544,18,5,24,1,0,10,5,cricket
0,2,0,0,0,194,0,3130,26,9,20,1,0,2,28,cricket
0,3,0,0,0,80,0,2440,22,4,19,3,1,10,6,cricket
0,2,0,0,0,25,0,908,9,3,16,1,0,0,0,cricket
0,6,0,0,0,84,0,2664,24,5,19,6,1,10,2,cricket
0,1,0,0,0,42,0,988,9,4,19,1,0,1,7,cricket
0,0,0,0,0,70,0,2357,17,4,23,0,0,2,6,cricket
0,4,0,0,0,62,0,1720,18,5,17,2,0,3,7,cricket
0,5,0,0,0,62,0,1636,15,3,19,2,0,6,5,cricket
0,2,0,0,0,64,0,1800,12,5,24,0,0,5,8,cricket
0,0,0,0,0,142,0,3231,28,5,18,0,0,1,6,football
0,0,0,0,0,70,0,1460,12,3,22,1,0,1,10,football
0,0,0,0,0,69,0,2439,21,5,20,4,4,3,2,football
0,0,0,0,0,25,0,791,11,4,12,1,2,0,1,football
0,0,0,0,0,46,0,1384,13,3,18,1,0,0,5,football
0,0,1,0,0,71,0,2047,15,3,24,1,4,2,5,football
0,0,0,0,0,187,0,3647,36,5,17,1,0,6,14,football
0,0,0,0,0,73,0,2027,14,5,24,2,0,8,3,football
0,0,0,0,0,53,0,974,11,4,15,1,0,2,1,football
0,0,0,0,0,179,0,3688,31,15,19,0,0,0,20,football
0,0,1,0,0,149,0,3691,37,5,17,1,0,15,14,football
0,0,0,0,0,159,0,3421,33,16,17,1,0,9,15,football
0,0,0,0,0,128,0,2611,28,14,16,0,0,0,22,football
0,0,0,0,0,134,0,2966,26,13,19,0,0,0,17,football
0,0,0,0,0,141,0,2640,28,14,15,0,0,0,20,football
0,0,0,0,0,49,0,1227,12,3,18,1,0,1,2,football
0,0,0,0,0,101,0,2600,23,6,19,1,0,6,4,football
0,0,1,0,0,218,0,7348,78,19,17,6,2,42,13,football
0,0,0,0,0,52,0,1423,17,3,14,1,1,0,0,football
0,0,0,0,0,55,0,1692,16,4,19,2,5,0,2,football
0,0,2,0,0,128,0,3589,28,4,23,2,10,2,10,football
0,0,0,0,0,27,0,835,9,3,17,2,2,1,2,football
0,0,0,0,0,51,0,1201,11,3,18,0,0,0,6,football
0,0,5,0,0,156,0,6087,50,18,20,1,0,11,11,football
0,0,0,0,0,59,0,2749,25,6,19,0,0,2,4,football
1,0,0,0,0,49,0,1112,10,3,18,0,0,0,7,football
0,0,1,0,0,219,0,7357,78,19,17,6,2,42,13,football
0,0,0,0,0,73,0,1769,17,10,18,2,0,6,2,football
0,0,0,0,0,57,0,1331,11,4,20,0,0,0,2,football
0,0,0,0,0,50,0,1736,15,4,20,1,0,1,4,football
0,0,1,0,0,62,0,1683,17,4,17,2,0,4,3,football
0,0,0,0,0,71,0,2335,22,5,18,3,2,9,2,football
0,0,0,0,0,36,0,917,7,4,22,1,0,0,3,football
0,0,1,0,0,38,0,1393,12,4,20,1,0,6,2,football
0,0,0,0,0,103,0,1397,8,4,25,0,0,0,4,football
0,0,0,0,0,34,0,784,9,4,15,0,0,0,1,football
0,0,0,0,0,50,0,1419,13,5,19,1,0,8,2,football
0,0,1,0,0,77,0,1394,11,3,22,0,0,1,11,football
0,0,1,0,0,60,0,1928,15,4,23,1,1,13,0,football
0,0,0,0,0,136,0,1798,22,16,13,0,0,0,13,football
0,0,0,0,0,59,0,994,6,3,26,0,0,0,2,football
0,0,0,0,0,38,0,886,8,3,18,0,0,0,1,football
0,0,2,0,0,69,0,2011,23,5,14,3,0,3,4,football
0,0,1,0,0,46,0,1380,11,4,22,3,1,1,4,football
0,0,0,0,0,150,0,3122,27,12,19,0,0,1,6,football
0,0,0,0,0,68,0,2249,24,5,16,4,2,3,2,football
0,0,0,0,0,34,0,892,10,4,15,1,0,5,0,football
0,0,0,0,0,87,0,2204,21,6,19,3,7,2,3,football
0,0,0,0,0,19,0,867,9,4,16,1,0,8,1,football
0,0,0,0,0,38,0,1177,11,4,20,2,0,4,7,football
0,0,0,0,0,62,0,1655,17,4,17,2,2,11,3,football
0,0,0,0,0,143,0,2823,24,8,18,0,0,0,5,football
0,0,1,0,0,74,0,1949,18,4,18,2,0,3,6,football
0,0,0,0,0,43,0,958,7,3,22,0,0,0,1,football
0,0,6,0,0,68,0,1525,11,3,23,3,0,4,13,football
0,0,0,0,0,43,0,1749,17,4,18,4,0,14,4,football
0,0,0,0,0,52,0,1278,13,3,17,1,1,5,5,football
0,0,1,0,0,92,0,2545,24,4,18,4,0,16,2,football
0,0,0,0,0,42,0,1305,9,3,23,2,0,0,4,football
0,0,0,0,0,62,0,1743,18,4,16,4,3,3,3,football
0,0,0,0,0,57,0,1725,17,5,18,2,2,12,7,football
0,0,0,0,0,59,0,1656,15,5,19,1,0,3,5,football
0,0,0,0,0,60,0,1719,20,5,15,4,3,10,8,football
0,0,2,0,0,90,0,2136,23,5,16,3,5,1,5,football
0,0,0,0,0,57,0,1394,13,4,20,2,3,8,5,football
0,0,4,0,0,84,0,3053,23,4,22,2,0,1,3,football
0,0,0,0,0,47,0,1047,8,4,21,1,0,1,4,football
0,0,0,0,0,25,0,830,7,3,21,0,0,0,1,football
0,0,0,0,0,151,0,3138,27,12,18,0,0,0,14,football
0,0,1,0,0,55,0,1232,9,3,24,1,0,2,0,football
0,0,0,0,0,36,0,1057,9,4,19,3,1,0,3,football
0,0,1,0,0,63,0,1841,21,5,15,2,0,0,4,football
0,0,0,0,0,36,0,776,7,4,19,1,1,1,6,football
0,0,0,0,0,63,0,1435,16,3,15,2,3,0,4,football
0,0,1,0,0,64,0,1582,11,4,22,1,0,0,3,football
0,0,2,0,0,77,0,2216,20,4,18,3,1,1,6,football
0,0,0,0,0,39,0,779,6,3,21,0,0,0,8,football
0,0,0,0,0,48,0,1789,18,4,19,2,5,2,0,football
0,0,0,0,0,48,0,854,10,4,15,0,0,0,0,football
0,0,0,0,0,45,0,985,7,4,22,0,0,0,5,football
0,0,0,0,0,31,0,792,7,3,19,2,0,0,4,football
0,0,0,0,0,61,0,1740,14,4,22,1,0,5,8,football
0,0,2,0,0,57,0,1575,13,4,19,1,0,0,2,football
0,0,0,0,0,58,0,1367,14,3,17,2,1,1,0,football
0,0,1,0,0,159,0,3637,29,12,22,1,0,10,25,football
0,0,2,0,0,179,0,3797,26,12,24,1,0,8,20,football
0,0,1,0,0,143,0,2932,27,5,19,2,0,3,19,football
0,0,1,0,0,143,0,2933,27,6,19,2,0,3,19,football
0,0,0,0,0,52,0,1686,15,4,20,2,1,5,2,football
1,0,0,0,0,82,0,1349,9,13,24,0,0,0,4,football
0,0,2,0,0,50,0,1359,10,3,22,1,0,2,5,football
0,0,1,0,0,73,0,1765,15,4,19,2,1,3,13,football
0,0,1,0,0,41,0,1190,11,4,17,1,2,0,1,football
0,0,1,0,0,54,0,1815,17,5,18,3,3,6,7,football
0,0,0,0,0,66,0,1730,15,4,20,4,0,6,8,football
0,0,0,0,0,73,0,1602,13,12,20,0,0,0,4,football
0,0,0,0,0,42,0,728,6,4,19,0,0,0,10,football
0,0,1,0,0,120,0,2338,17,20,23,1,2,8,4,football
0,0,1,0,0,55,0,1354,14,4,16,1,0,3,2,football
0,0,0,0,0,35,0,860,9,3,16,1,1,1,1,football
0,0,0,0,0,69,0,2257,23,4,17,3,3,1,1,football
0,0,2,0,0,44,0,1671,18,5,16,2,4,7,4,football
0,0,1,0,0,64,0,1827,16,5,20,1,0,1,3,football
0,0,1,0,0,46,0,1306,12,3,18,1,0,2,0,football
0,0,3,0,0,64,0,2668,21,3,21,1,0,3,4,football
0,0,1,0,0,57,0,1629,16,4,17,1,1,3,2,football
0,0,3,0,0,48,0,1544,21,5,13,2,9,0,0,football
0,0,0,0,0,42,0,1196,14,4,14,2,5,7,0,football
0,0,0,0,0,30,0,732,6,3,20,1,0,1,1,football
0,0,1,0,0,37,0,1357,9,3,24,1,0,1,2,football
0,0,0,0,0,177,0,2178,12,37,28,0,0,1,4,football
0,0,3,0,0,53,0,1385,15,4,17,2,3,1,4,football
0,0,1,0,0,74,0,2323,24,5,16,4,1,6,3,football
0,0,6,0,0,108,0,2516,26,4,16,2,2,2,2,football
0,0,2,0,0,39,0,1886,16,5,20,3,0,6,0,football
0,0,0,0,0,123,0,3405,36,5,16,0,0,2,5,football
0,0,0,0,0,65,0,1886,16,5,21,2,6,1,5,football
0,0,2,0,0,84,0,2421,20,4,21,0,0,1,6,football
0,0,0,0,0,29,0,1122,12,4,15,1,0,0,0,football
0,0,0,0,0,72,0,820,10,8,12,0,0,0,4,football
0,0,0,0,0,46,0,1566,14,3,18,0,2,1,5,football
0,0,2,0,0,137,0,3663,29,13,20,12,0,4,7,football
0,0,0,0,0,56,0,1895,22,4,15,2,0,6,7,football
0,0,1,0,0,109,0,4545,41,6,20,1,4,2,8,football
0,0,0,0,0,81,0,1547,12,5,23,0,0,1,13,football
0,0,0,0,0,24,0,769,7,3,19,1,0,5,2,football
0,0,0,0,0,26,0,1143,9,3,23,2,0,11,0,football
0,0,2,0,0,61,0,2223,22,5,18,3,0,16,3,football
0,0,0,0,0,63,0,2198,22,3,18,2,2,21,3,football
0,0,0,0,0,87,0,896,12,11,12,0,0,0,19,football
0,0,0,0,0,73,0,829,12,10,10,0,0,0,15,football
0,0,0,0,0,55,0,1398,11,4,22,0,0,0,5,football
0,0,0,0,0,107,0,2977,36,7,14,3,6,5,2,football
0,0,1,0,0,83,0,2311,24,5,16,2,1,2,0,football
0,0,1,0,0,31,0,871,7,3,21,1,0,8,2,football
0,0,0,0,0,32,0,1089,8,4,23,0,2,0,1,football
0,0,2,0,0,69,0,2483,25,4,17,2,1,15,4,football
0,0,0,0,0,77,0,2550,24,5,18,2,1,3,4,football
0,0,1,0,0,73,0,2005,16,5,20,4,2,0,4,football
0,0,1,0,0,39,0,1280,11,3,19,0,0,0,6,football
0,0,6,0,0,144,0,4468,49,7,15,9,4,5,6,football
0,0,0,0,0,48,0,1768,17,5,18,3,2,9,5,football
0,0,0,0,0,69,0,1182,11,13,16,0,0,0,8,football
0,0,0,0,0,44,0,1208,15,3,14,1,0,9,2,football
0,0,0,0,0,30,0,840,7,3,19,0,0,4,2,football
0,0,0,0,0,142,0,3000,25,10,21,0,0,0,13,football
0,0,2,0,0,44,1,1026,10,3,19,0,0,4,7,football
0,0,0,0,0,61,0,1379,12,4,19,1,0,0,4,football
0,0,0,0,0,74,0,2370,25,5,17,2,1,19,3,football
0,0,0,0,0,44,0,1346,11,4,22,1,5,0,2,football
0,0,0,0,0,62,0,1792,14,5,22,1,0,2,12,football
0,0,0,0,0,151,0,3344,32,14,17,0,0,0,12,football
0,0,2,0,0,53,0,1798,14,4,21,4,0,6,3,football
0,0,1,0,0,98,0,2056,28,4,13,3,5,3,8,football
0,0,0,0,0,31,0,725,8,3,15,0,0,0,3,football
0,0,0,0,0,51,0,1904,15,4,22,1,1,1,2,football
0,0,1,0,0,119,0,3345,31,6,19,2,1,10,14,football
0,0,1,0,0,45,0,1099,9,3,21,2,0,3,8,football
0,0,0,0,0,63,0,1886,17,4,19,1,0,2,2,football
0,0,1,0,0,87,0,2368,24,4,18,2,3,8,3,football
0,0,1,0,0,45,0,1099,9,3,21,2,0,3,8,football
0,0,1,0,0,22,0,749,8,3,16,1,0,8,0,football
0,0,2,0,0,45,0,1546,13,5,19,1,1,3,3,football
0,0,2,0,0,45,0,1546,13,5,19,1,1,3,3,football
0,0,0,0,0,34,0,1082,11,3,17,1,0,6,2,football
0,0,0,0,0,83,0,2830,29,5,17,5,5,1,2,football
0,0,0,0,0,30,0,882,8,3,19,0,0,4,0,football
0,0,0,0,0,28,0,770,6,3,22,0,0,2,3,football
0,0,0,0,0,27,0,952,10,4,17,1,0,13,2,football
0,0,0,0,0,63,0,1970,18,5,19,2,2,4,5,football
0,0,0,0,0,40,0,1219,11,4,20,1,0,2,6,football
0,0,0,0,0,42,0,904,8,3,18,1,0,0,3,football
0,0,2,0,0,47,0,1891,17,4,20,3,0,8,2,football
0,0,0,0,0,158,0,3459,32,14,18,0,0,0,14,football
0,0,0,0,0,144,0,2635,25,14,17,0,0,0,18,football
0,0,0,0,0,59,0,1469,12,4,20,1,0,0,8,football
